Light	Herbivory	Iteration	Plant	hac	hexenol	Hexenal
High	nw	it_17	4	0,211366484	4,951637363	4,123576923
High	nw	it_17	5	1,127466346	4,508149038	3,932995192
High	nw	it_17	6	1,564113043	8,972	5,607565217
High	nw	it_17	7	0,811877907	5,461255814	3,217732558
High	nw	it_17	8	1,183125874	6,417538462	3,09641958
High	w	it_17	9	0,934826733	4,243044554	3,568777228
High	w	it_17	10	1,766117188	7,28440625	5,304898438
High	w	it_17	11	1,109520833	5,003671875	4,633072917
High	w	it_17	12	0,398588148	6,644666667	4,194162963
High	w	it_17	13	0,771966443	5,653228188	4,400865772
High	w	it_17	14	2,141083799	4,261195531	5,774581006
High	w	it_17	15	1,037955128	5,759185897	4,571724359
High	w	it_17	16	1,166874172	6,207331126	3,399271523
Low	nw	it_17	17	0,834604444	3,924657778	3,983746667
Low	nw	it_17	18	1,246080925	4,799028902	5,268023121
Low	nw	it_17	19	0,565857895	4,913457895	4,995978947
Low	nw	it_17	20	0,248899231	5,5736	7,603053846
Low	nw	it_17	21	0,342579757	3,722773279	3,289983806
Low	nw	it_17	22	0,224537681	6,798043478	6,730992754
Low	nw	it_17	23	1,147905405	6,331101351	6,382202703
Low	nw	it_17	24	0,718686957	3,325252174	3,080247826
Low	w	it_17	25	1,93583871	7,886354839	7,942322581
Low	w	it_17	26	1,36994012	5,126311377	4,637964072
Low	w	it_17	27	0,216333333	5,779539394	4,773078788
Low	w	it_17	28	1,657268456	6,535255034	6,052711409
Low	w	it_17	29	1,141021583	6,173460432	5,611776978
Low	w	it_17	30	1,280524793	4,370578512	3,219280992
Low	w	it_17	31	0,636175362	7,25442029	7,731231884
Low	w	it_17	32	0,929108434	4,700759036	5,181542169
High	nw	it_18	1	2,045435374	7,550068027	5,983857143
High	nw	it_18	2	0,671875	6,398993421	4,161815789
High	nw	it_18	3	0,364742408	3,632439791	3,481141361
High	nw	it_18	4	1,150686813	3,982807692	2,98628022
High	nw	it_18	5	1,032230769	4,682442308	2,712980769
High	nw	it_18	6	1,820043478	7,180573913	3,76466087
High	nw	it_18	7	0,406338372	5,17255814	3,419627907
High	nw	it_18	8	1,444503497	5,62620979	4,027433566
High	w	it_18	9	0,471827723	4,642079208	4,048257426
High	w	it_18	10	1,859796875	7,284570313	5,107351563
High	w	it_18	11	0,185555208	3,800973958	3,385411458
High	w	it_18	12	1,556081481	6,301755556	5,469422222
High	w	it_18	13	0,822053691	5,220912752	5,370134228
High	w	it_18	14	1,988273743	5,241435754	3,640418994
High	w	it_18	15	1,048660256	5,543576923	4,984551282
High	w	it_18	16	1,752304636	6,014006623	3,610218543
Low	nw	it_18	17	0,682075556	3,694248889	3,723568889
Low	nw	it_18	18	1,238710983	5,120150289	4,892797688
Low	nw	it_18	19	0,933405263	3,770642105	5,537315789
Low	nw	it_18	20	0,533981538	6,619269231	3,8547
Low	nw	it_18	21	0,708951417	3,080651822	3,651242915
Low	nw	it_18	22	0,522728986	6,747601449	6,365152174
Low	nw	it_18	23	0,273125	5,876567568	5,292175676
Low	nw	it_18	24	0,515256522	3,500052174	2,884795652
Low	w	it_18	25	2,582717742	7,202306452	7,274008065
Low	w	it_18	26	1,236365269	5,250479042	4,642497006
Low	w	it_18	27	1,34589697	4,41150303	4,812987879
Low	w	it_18	28	1,711201342	6,489550336	6,762751678
Low	w	it_18	29	1,710899281	5,89218705	6,131769784
Low	w	it_18	30	0,459268595	4,135413223	4,315702479
Low	w	it_18	31	2,043536232	6,37657971	4,138195652
Low	w	it_18	32	1,233909639	5,735716867	4,898451807
High	nw	it_2	1	2,568020408	11,4844898	7,713469388
High	nw	it_2	2	2,622690789	12,28460526	7,909605263
