Emitter	Vol_Emitter	Light_Emitter	Receiver	Experiment	Iteration	Plant	Indole	Monoterpenes	Sesquiterpenes	DMNT	TMTT
A	constitutive	High_RFR	Low_RFR	1	5	7	70,85189873	55,28075949	8,954493671	25,16006329	1,518848101
A	constitutive	High_RFR	Low_RFR	2	5	8	57,48921569	40,23808824	6,828382353	24,22921569	1,197877451
A	constitutive	High_RFR	Low_RFR	3	5	9	84,73166667	45,16116667	6,454777778	29,50922222	1,494994444
B	hipvs	High_RFR	Low_RFR	1	5	10	90,09447514	79,69834254	13,90513812	41,82823204	1,970513812
B	hipvs	High_RFR	Low_RFR	2	5	11	55,43646667	45,82573333	9,156866667	22,2428	1,33664
B	hipvs	High_RFR	Low_RFR	3	5	12	56,7125	40,11524038	12,17605769	25,67798077	1,015706731
B	hipvs	High_RFR	Low_RFR	1	5	13	75,86494465	42,09298893	10,72583026	27,81125461	1,081697417
B	hipvs	High_RFR	Low_RFR	2	5	14	99,71056911	73,08252033	14,42898374	40,30869919	1,580581301
B	hipvs	High_RFR	Low_RFR	3	5	15	52,86317829	40,00581395	7,69379845	26,34104651	0,552174419
B	hipvs	High_RFR	Low_RFR	1	5	16	142,1781967	80,2504918	11,21059016	50,04065574	2,113803279
B	hipvs	High_RFR	Low_RFR	2	5	17	78,35220126	52,47245283	8,556163522	24,11962264	1,22454717
B	hipvs	High_RFR	Low_RFR	3	5	18	72,50437158	33,07010929	7,712459016	19,4968306	1,241409836
E	constitutive	Low_RFR	Low_RFR	1	5	19	87,96621622	90,81148649	14,84472973	38,41216216	1,641743243
E	constitutive	Low_RFR	Low_RFR	2	5	20	63,4293578	86,89770642	17,88747706		1,367055046
E	constitutive	Low_RFR	Low_RFR	3	5	21	69,64913043	58,00217391	13,58813043	23,31317391	1,483482609
E	constitutive	Low_RFR	Low_RFR	1	5	22	86,18311688	81,25909091	18,18201299	34,75668831	2,114512987
E	constitutive	Low_RFR	Low_RFR	2	5	23	52,23151261	62,57521008	12,24651261	33,90331933	1,41302521
E	constitutive	Low_RFR	Low_RFR	3	5	24	79,81847826	80,44619565	12,4048913	41,08418478	1,348445652
E	constitutive	Low_RFR	Low_RFR	1	5	25	93,42012195	60,00414634	8,083231707	35,87835366	1,772371951
E	constitutive	Low_RFR	Low_RFR	2	5	26	96,40955056	64,22640449	7,882022472	25,49932584	1,467629213
E	constitutive	Low_RFR	Low_RFR	3	5	27	61,4247191	40,32191011	8,667134831	17,18691011	1,497393258
F	hipvs	Low_RFR	Low_RFR	1	5	28	53,19979592	71,03877551	21,97265306	44,40428571	1,15270068
F	hipvs	Low_RFR	Low_RFR	2	5	29	132,6747475	171,210101	27,00888889	64,69292929	1,985707071
F	hipvs	Low_RFR	Low_RFR	3	5	30	63,69533679	65,35181347	14,21176166	41,55072539	1,249
F	hipvs	Low_RFR	Low_RFR	1	5	31	77,83730159	57,79087302	11,21821429	33,40011905	0,911603175
F	hipvs	Low_RFR	Low_RFR	2	5	32	70,67161572	95,60349345	12,07065502	20,98248908	1,494842795
F	hipvs	Low_RFR	Low_RFR	3	5	33	73,23865979	75,98814433	14,70113402	48,01690722	1,428835052
F	hipvs	Low_RFR	Low_RFR	1	5	34	106,3716418	73,45402985	14,61843284	36,93746269	1,991380597
F	hipvs	Low_RFR	Low_RFR	2	5	35	118,9792	70,02624	10,30416	31,22272	1,687944
F	hipvs	Low_RFR	Low_RFR	3	5	36	134,3496732	38,62764706	7,026339869	22,68013072	1,818385621
A	constitutive	High_RFR	Low_RFR	1	6	1	68,50714286	64,47246753	17,94993506	36,61863636	1,676798701
A	constitutive	High_RFR	Low_RFR	2	6	2	76,45989011	47,62527473	14,44098901	27,02950549	1,816214286
A	constitutive	High_RFR	Low_RFR	3	6	3	40,75406977	28,14116279	8,61305814	12,88406977	1,458674419
A	constitutive	High_RFR	Low_RFR	1	6	4	31,48209622	22,72687285	5,782542955	14,70116838	0,740140893
A	constitutive	High_RFR	Low_RFR	2	6	5	35,98882653	20,44836735	7,33494898	12,76790816	1,338071429
A	constitutive	High_RFR	Low_RFR	3	6	6	27,75444882	17,26393701	5,85492126	11,40622047	0,80096063
A	constitutive	High_RFR	Low_RFR	1	6	7	60,69797468	42,6743038	9,064303797	12,62905063	1,53235443
A	constitutive	High_RFR	Low_RFR	2	6	8	41,44661765	24,46955882	6,602647059	11,66401961	1,243637255
A	constitutive	High_RFR	Low_RFR	3	6	9	64,59277778	34,47533333	6,058055556	16,39088889	1,502861111
B	hipvs	High_RFR	Low_RFR	1	6	10	74,58176796	50,53248619	11,46226519	21,45016575	1,960718232
